Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
19-03-2015,"2,351","6,847",4.11,0,"1,117",92,79,20,808
20-03-2015,"2,728","11,816",7.09,0,820,132,87,59,"1,285"
21-03-2015,"3,036","16,515",9.91,0,528,147,225,24,"1,755"
22-03-2015,"2,749","12,146",7.29,0,462,139,115,52,"1,361"
23-03-2015,"2,503","9,991",5.99,0,902,69,87,47,994
24-03-2015,"2,580","11,607",6.96,0,"1,028",56,60,75,"1,065"
25-03-2015,"3,116","18,269",10.96,0,572,118,173,71,"1,790"
26-03-2015,"2,741","12,090",7.25,0,731,123,120,48,"1,317"
27-03-2015,"2,398","7,703",4.62,0,913,86,79,27,858
28-03-2015,"2,708","12,521",7.51,0,"1,174",96,119,51,"1,273"
29-03-2015,"2,632","10,971",6.58,0,"1,031",108,182,3,"1,232"
30-03-2015,"2,489","9,399",5.64,0,907,67,90,41,951
31-03-2015,"2,333","6,874",4.12,0,"1,144",77,87,17,779
01-04-2015,"2,715","8,680",5.21,0,891,64,71,79,"1,215"
02-04-2015,"2,258","6,469",3.88,0,"1,287",58,63,32,701
03-04-2015,696,0,0,0,587,0,0,0,0
